group,variable,value
SUN,00,20
SUN,04,34
SUN,08,40
SUN,12,52
SUN,16,60
SUN,20,40
SUN,24,30
MON,00,30
MON,04,33
MON,08,50
MON,12,78
MON,16,58
MON,20,40
MON,24,36
TUE,00,36
TUE,04,28
TUE,08,45
TUE,12,70
TUE,16,65
TUE,20,43
TUE,24,35
WED,00,35
WED,04,30
WED,08,50
WED,12,65
WED,16,68
WED,20,50
WED,24,30
THU,00,30
THU,04,40
THU,08,50
THU,12,70
THU,16,74
THU,20,60
THU,24,38
FRI,00,38
FRI,04,30
FRI,08,42
FRI,12,70
FRI,16,80
FRI,20,65
FRI,24,45
SAT,00,45
SAT,04,32
SAT,08,55
SAT,12,60
SAT,16,70
SAT,20,63
SAT,24,50
